Date,AAPL,AMZN,DOW,G,INTC,INTU,NVDA,RS,SAM,SNP500
03/01/2000,3.745536,81.5,11501.84961,14,41.632813,29.804688,3.9375,11.71875,6000,1469.25
04/01/2000,3.866071,85.375,11349.75,16.299999,42.71875,28.5625,3.833333,11.15625,5800,1455.219971
05/01/2000,3.705357,70.5,10989.37012,15.8,41.5,30.96875,3.6875,10.5,5750,1399.420044
06/01/2000,3.790179,71.3125,11113.37012,16.030001,40.875,36.71875,3.671875,10.6875,5560,1402.109985
07/01/2000,3.446429,67,11247.05957,17.01,38.75,34.8125,3.416667,11,5600,1403.449951
10/01/2000,3.642857,72.5625,11532.48047,16.49,42.875,37.5,3.5,11.5,5820,1441.469971
11/01/2000,3.426339,66.875,11568.46973,15.82,44.28125,41.46875,3.583333,11.875,5610,1457.599976
12/01/2000,3.392857,67.875,11506.73047,15.74,45.4375,40.875,3.458333,11.375,5600,1438.560059
13/01/2000,3.374442,64.9375,11558.24023,15.15,46.34375,36.8125,3.364583,11.375,5720,1432.25
14/01/2000,3.571429,66.75,11619.34961,14.78,49.25,41.40625,3.5625,11.5625,6000,1449.680054
18/01/2000,3.607143,63.4375,11719.19043,14.62,50.148438,40.65625,3.708333,11.1875,6160,1465.150024
19/01/2000,3.772321,64.125,11535.24023,14.97,50.5,38.5,3.833333,11.25,6000,1455.140015
20/01/2000,4.125,66.9375,11490.29004,14,49.875,37.75,3.8125,11.125,5860,1455.900024
21/01/2000,4.080357,64.625,11356.25977,14.65,48,39.5,3.760417,10.9375,5950,1445.569946
24/01/2000,3.872768,67.5625,11251.94043,14.85,51.117188,37.78125,3.848958,11.125,5800,1441.359985
25/01/2000,3.75,70,11010.95996,15.56,49.6875,35,3.578125,10.6875,5520,1401.530029
26/01/2000,3.928571,68.625,11025.84961,16.809999,50.375,35.625,3.53125,10.375,5500,1410.030029
27/01/2000,3.886161,65.1875,11035.54981,16.68,49.6875,33.53125,3.411458,10.5625,5480,1404.089966
28/01/2000,3.863839,65,11024.91992,16.73,48.625,31.53125,3.166667,10.5,5640,1398.560059
31/01/2000,3.607143,60.375,10735.76953,16.15,46.8125,28.4375,3.130208,10.5,5640,1360.160034
01/02/2000,3.714286,67.5,10937.74023,16.25,49.1875,31.09375,3.09375,10.5,5600,1394.459961
02/02/2000,3.598214,67.9375,11037.63965,16.5,50.5,32.84375,3.177083,10.40625,5220,1409.280029
03/02/2000,3.582589,81.125,11010.48047,16.51,50.84375,34.59375,3.354167,9.875,5250,1409.119995
04/02/2000,3.712054,82.75,11014.37012,16,52.1875,35.492188,3.40625,10,5130,1424.969971
07/02/2000,3.857143,76.1875,10965.96973,15.42,52.46875,34.6875,3.395833,9.875,5140,1424.369995
08/02/2000,4.071429,74,10904.25977,15.25,54.40625,34.96875,3.25,9.71875,5340,1424.23999
09/02/2000,4.075893,80.546875,10948.82031,14.48,54.0625,34.65625,3.447917,9.1875,5560,1441.719971
10/02/2000,4.03125,78.5,10697.91992,14.65,52.1875,32.1875,3.614583,9.03125,5660,1411.699951
